,BR10,BR2,BR3,BR4,BR5,BR6,BR7,BR9,ER1,ER10,ER11,ER12,ER13,ER14,ER15,ER16,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,JP1,JP2,JP3,JP4,JP5,JP7,JP8,JP9,KB1,KB10,KB2,KB3,KB4,KB5,KB6,KB9,NM3,NM4,NM5,NM6,NM9,PI1,PI2,PI3,PI4,PI5,PI7,PI8,PI9,WR1,WR10,WR2,WR3,WR4,WR5,WR6,WR7,WR8
ASV0052,0,126,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,271,0,0,0,0,66,0,9,0,0,0,29,0,0,0,8,655,0,0,0,5028,478,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0
ASV0053,0,0,0,0,69,0,0,0,376,98,561,392,241,391,140,111,272,181,63,120,113,302,295,130,0,0,0,0,23,0,0,0,0,23,0,0,393,126,0,28,0,0,0,0,0,0,0,0,29,0,0,0,0,0,6,0,462,425,1599,0,0,26
ASV0054,26,271,203,58,77,0,15,59,279,116,246,144,170,231,210,159,345,136,97,339,343,76,108,116,178,42,171,595,213,43,0,214,0,54,0,21,68,85,0,0,43,8,21,0,0,42,95,122,214,248,11,14,32,15,61,44,102,70,199,0,0,18
ASV0055,18,26,32,0,9,0,0,9,265,166,151,138,128,142,118,177,375,385,280,390,334,38,76,90,0,0,43,7,35,0,0,48,321,0,135,20,88,55,0,0,12,1378,117,0,57,0,16,573,63,38,0,0,99,0,11,18,11,49,72,0,0,87
ASV0056,0,21,41,0,22,0,0,0,90,160,144,155,183,240,56,43,74,106,59,16,15,135,153,174,38,42,0,0,17,0,0,36,20,57,81,136,155,1242,0,20,18,17,110,90,0,981,55,0,0,15,0,0,11,21,22,40,496,484,239,0,0,274
ASV0057,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,14,23,13,62,42,0,0,0,0,0,336,4549,0,0,0,125,0,0,0,15,0,0,0,0,12,32,0,0,0,0,0,0,424,0,43,700,6,0,0,0,109,0,0,0,0,0
ASV0058,0,12,49,0,43,0,0,0,123,298,788,503,723,783,580,421,113,95,85,68,46,170,276,229,0,0,0,0,0,0,0,22,0,0,108,19,105,31,0,0,0,39,116,0,9,0,23,54,0,39,0,0,31,0,9,0,0,129,164,0,0,40
ASV0059,46,446,535,85,0,0,109,0,113,164,75,111,118,99,155,113,114,113,110,113,107,92,121,188,72,89,114,31,185,170,48,0,98,67,31,0,511,107,0,133,14,67,0,0,0,12,164,315,51,89,105,0,62,0,65,75,85,193,119,0,0,117
ASV0060,8,19,5,0,0,0,37,0,19,306,779,490,686,838,551,374,25,26,35,5,12,136,199,322,0,0,55,9,23,29,14,0,0,0,0,0,152,0,0,0,39,0,25,0,0,0,0,29,0,43,72,0,0,379,0,0,0,18,147,0,0,0
ASV0061,71,14,69,0,64,30,42,48,45,151,331,299,389,364,489,921,64,38,32,124,87,51,91,131,128,0,13,13,194,0,7,29,28,143,47,0,0,0,19,0,18,79,16,45,61,79,15,13,42,111,41,0,0,95,53,48,12,58,94,192,54,66
ASV0062,0,89,759,0,29,0,0,17,78,171,113,117,87,127,17,0,92,209,76,15,0,122,182,155,0,17,0,31,0,14,0,0,0,130,18,155,69,613,0,0,20,136,47,0,0,32,15,0,33,38,57,35,0,0,26,20,301,615,484,36,0,291
ASV0063,0,500,260,119,71,0,0,28,266,101,78,28,79,63,71,40,301,159,91,266,227,47,95,63,0,51,139,200,315,8,0,0,0,0,25,0,10,23,0,0,8,151,43,0,0,0,46,981,221,285,25,0,0,0,0,67,8,30,21,0,0,10
ASV0064,49,0,0,0,1791,0,0,0,226,36,172,95,393,591,33,42,172,833,420,34,52,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,11,0,0,21,0,0,0,0,0,0,0,0,0,0,0,327,0,0,194,37,0,30,0
ASV0065,0,169,361,30,86,0,12,82,187,123,323,256,336,397,165,191,174,154,198,179,146,83,92,93,278,24,0,54,12,41,0,36,22,19,91,0,56,29,0,0,15,8,11,16,0,0,68,74,88,29,89,0,19,84,50,59,18,58,147,39,23,149
ASV0066,0,0,25,52,32,0,0,0,148,91,332,399,420,571,207,72,138,121,81,62,59,123,136,112,0,214,10,0,33,0,0,0,0,27,65,0,0,126,0,0,0,16,72,0,0,363,745,129,0,49,0,0,0,20,0,0,58,72,358,0,0,0
ASV0067,0,0,0,0,0,0,0,0,407,327,247,123,172,228,72,528,251,253,440,515,373,262,495,235,0,0,0,0,192,0,0,0,0,0,0,0,0,56,0,0,0,0,14,0,0,0,0,0,0,206,0,0,0,0,29,0,0,71,0,0,0,0
ASV0068,0,0,23,122,1266,0,0,0,131,83,136,276,350,578,206,44,119,138,49,24,24,53,115,65,0,12,0,0,25,0,0,0,0,171,32,30,0,57,0,0,0,0,28,0,0,45,59,0,0,40,0,0,0,18,0,50,165,434,368,0,0,91
ASV0069,0,244,586,424,0,0,0,36,0,0,0,0,0,0,0,13,0,0,0,265,306,0,0,0,180,78,0,259,120,23,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,76,1728,35,138,0,0,34,0,521,0,0,0,0,11,0
ASV0070,0,0,0,0,123,0,0,12,676,6,113,573,291,754,0,515,37,0,209,0,0,79,120,10,0,97,0,0,134,0,0,0,32,0,112,0,0,0,0,0,545,0,54,0,0,49,0,117,42,0,0,0,0,64,20,0,355,75,76,0,0,78
ASV0071,8,0,0,0,51,0,0,0,10,523,599,220,577,482,281,321,10,17,17,8,0,195,332,429,0,0,0,0,27,0,0,0,0,156,151,0,0,9,0,0,0,6,34,0,0,0,0,7,0,21,0,0,0,0,107,0,5,433,193,0,0,0
ASV0072,0,0,46,76,111,0,0,27,100,258,74,63,281,345,243,115,82,70,56,45,48,196,264,179,20,21,0,0,0,0,0,0,0,36,0,0,0,338,0,0,26,122,88,0,0,0,37,0,0,24,26,0,0,0,68,0,22,127,1357,0,0,209
ASV0073,12,21,73,4379,53,5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,307,0,0,4,72,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0074,0,0,0,32,0,0,0,0,181,241,0,81,67,0,0,0,147,285,277,211,120,169,228,239,0,0,0,89,31,0,0,691,0,0,0,0,478,88,0,0,253,168,0,0,0,0,0,0,44,0,0,0,229,0,95,0,0,373,145,0,0,0
ASV0075,0,0,0,0,8,0,0,0,103,280,810,505,561,653,273,186,56,86,84,68,67,207,368,296,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,29,3,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,30,0,0,0
ASV0076,0,0,0,0,0,0,0,0,0,203,667,414,510,481,398,489,0,68,119,57,0,99,177,113,0,0,0,0,0,0,0,51,0,0,0,0,355,96,0,14,0,33,0,0,0,0,0,0,0,0,0,0,111,0,39,0,0,84,138,0,0,46
ASV0077,10,0,51,36,365,14,0,17,183,101,315,200,289,420,387,195,126,56,35,102,129,100,148,110,17,0,0,113,104,0,7,14,75,59,0,0,0,0,0,78,8,27,0,11,0,0,0,39,176,211,0,0,0,156,0,0,22,59,169,0,0,0
ASV0078,0,0,0,0,0,0,3,0,36,40,96,60,90,89,64,49,38,34,25,39,22,24,32,28,0,0,0,23,91,0,0,0,0,270,0,0,2994,58,0,15,13,16,39,0,0,0,0,0,62,197,0,89,0,0,0,0,0,0,0,0,0,0
ASV0079,12,9,9,9,194,11,51,52,182,158,230,266,278,241,98,60,173,363,303,9,32,194,131,161,0,0,0,0,22,0,27,0,0,0,19,0,68,56,6,0,37,0,6,0,0,8,0,0,0,0,0,5,0,0,49,0,382,393,59,36,11,41
ASV0080,0,0,0,0,0,0,0,0,10,45,1331,661,775,944,170,70,14,42,21,27,21,27,45,61,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,21,0,0,16,0,60,0,0,6
ASV0081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4004,0,18,0,0,0,105,6,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,208,6,0,0,0,0,0
ASV0082,8,96,131,46,344,35,7,31,28,6,0,11,17,29,9,6,40,102,47,16,8,0,0,5,23,9,0,12,0,0,0,10,10,804,15,0,0,65,10,5,6,37,44,0,0,319,18,0,0,0,0,0,0,393,84,840,111,39,164,67,30,169
ASV0083,0,0,0,0,0,66,0,0,0,15,21,513,0,13,0,0,0,0,106,0,0,11,10,10,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,10,0,2172,926,0,0,8,0
ASV0084,8,777,37,0,0,0,0,42,50,65,126,84,106,53,86,114,45,0,43,100,59,49,51,48,0,0,232,425,15,201,0,14,0,0,9,0,333,0,0,0,42,205,20,10,11,103,0,131,444,21,32,0,0,0,0,0,0,40,47,0,0,0
ASV0085,9,156,1662,162,38,12,235,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,15,0,0,0,1080,25,0,0,16,35,0,0,0,0,0,0,0,0,0,0,0,16,0,74,0,0,68,17,0,53,0
ASV0086,0,0,6,0,0,0,0,0,62,375,362,302,309,269,103,71,56,112,25,14,0,469,505,432,0,0,0,0,0,0,0,0,0,0,0,40,19,24,0,12,0,0,8,5,0,0,0,0,0,14,0,0,0,0,20,0,32,229,320,0,0,7
ASV0087,0,0,0,0,617,272,209,0,0,0,0,0,0,0,0,0,0,0,0,635,697,0,0,0,0,0,0,0,467,0,100,0,0,0,0,0,681,0,0,0,0,0,0,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0088,15,17,140,266,34,0,26,126,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,108,95,29,1517,0,513,6,231,0,0,9,76,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,303,54,322,122,9,23,0,91,13
ASV0089,0,0,7,0,0,0,0,0,196,528,22,8,29,33,18,7,220,222,196,65,73,211,392,447,0,0,0,0,14,0,0,0,0,7,0,0,312,880,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,14,0,0,133,0,0,0,0
ASV0090,3,0,0,101,197,0,0,81,357,46,0,0,0,0,6,0,401,197,149,457,364,21,28,38,0,614,24,79,19,26,0,0,0,0,0,0,0,0,0,0,0,66,3,0,0,0,168,37,162,39,103,0,0,0,0,0,0,0,81,0,0,0
ASV0091,0,0,0,73,0,0,0,0,198,129,24,0,24,18,37,45,145,158,131,357,244,65,108,131,0,0,286,156,51,0,0,0,0,0,0,0,132,0,0,0,447,206,0,0,0,0,0,287,268,23,48,0,0,0,0,42,0,0,0,0,0,0
ASV0092,13,810,124,92,97,0,0,3,162,56,0,0,0,0,0,0,191,152,9,192,115,32,40,48,69,0,20,15,41,0,0,0,0,0,0,0,0,99,0,308,27,6,0,18,0,259,0,668,16,82,8,0,0,0,0,0,0,0,49,0,0,0
ASV0093,14,6,22,0,0,0,18,0,170,65,76,32,43,64,43,66,200,155,83,199,143,32,46,66,41,0,6,0,38,0,0,68,50,27,70,102,296,108,9,14,16,165,38,42,0,511,15,25,18,48,13,0,67,105,18,0,14,0,0,132,53,119
ASV0094,4,0,0,0,0,0,0,0,640,70,0,0,0,0,0,0,650,208,147,651,492,33,45,62,0,0,0,15,113,0,0,30,0,0,0,0,0,0,34,0,0,65,0,0,0,0,0,0,59,275,0,161,0,0,0,0,0,0,0,0,0,0
ASV0095,0,0,0,0,0,0,0,0,0,177,432,268,384,446,78,72,0,0,0,0,0,44,95,127,0,0,0,0,0,0,0,0,19,41,582,0,68,24,0,0,0,95,269,0,12,0,5,19,0,0,0,0,0,34,0,2,19,90,35,0,0,233
ASV0096,0,0,143,55,166,0,0,19,46,89,116,87,107,126,35,28,49,50,27,24,9,53,64,63,23,35,0,69,44,0,0,44,18,97,0,21,0,0,16,0,0,21,0,0,0,0,15,23,28,65,0,0,0,71,49,329,31,494,805,0,0,15
ASV0097,0,0,0,0,225,0,0,0,0,15,143,51,60,55,0,0,117,214,96,0,0,220,286,343,0,0,0,0,0,0,0,0,0,0,8,21,157,73,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,34,152,815,15,0,0,0
ASV0098,0,0,0,0,0,0,0,0,0,135,171,165,165,129,392,292,0,0,0,0,0,236,279,80,0,0,0,0,96,0,0,0,0,82,30,0,74,90,0,0,0,139,0,0,0,333,0,37,109,73,0,0,0,59,0,0,23,67,0,10,0,362
